Date,Open,High,Low,Close,Adj Close,Volume,Change
1-May-17,33.67,34.76,31.5,33.63,29.57,"22,950,568",0.904004891
1-Apr-17,36.88,38.28,32.89,33.67,29.61,"37,223,491",1.001352722
1-Mar-17,36.16,39.3,35.68,36.88,32.43,"53,039,560",1.095238095
1-Feb-17,35.42,37.15,35.09,36.21,31.84,"31,595,676",0.981806969
1-Jan-17,36,36.88,33.95,35.42,31.14,"16,060,682",0.978015075
1-Dec-16,39.1,39.9,35.45,36,31.65,"32,969,742",1.016377649
1-Nov-16,37.69,40.88,37.01,39.02,34.31,"35,531,813",1.084044234
1-Oct-16,36.72,38.98,36.72,37.65,33.1,"20,274,199",0.964733314
1-Sep-16,38.81,39.09,36.4,36.72,32.29,"24,595,205",0.975528701
1-Aug-16,41.47,42.79,38.32,38.81,34.12,"42,654,961",1.056673893
7-Jul-16,0.50 Dividend,,,,,,
1-Jul-16,40.33,44.56,39.5,41.47,36.03,"66,225,158",1.055978898
1-Jun-16,38.25,40.66,36.91,40.18,34.91,"44,070,296",0.968914793
1-May-16,36,41.2,35.5,38.18,33.17,"51,501,736",0.950157548
1-Apr-16,36.83,38.1,34.71,37.38,32.48,"39,725,362",0.979198071
1-Mar-16,31.7,37.96,31.68,36.94,32.1,"50,681,639",0.988300493
1-Feb-16,33.29,36.02,31.03,31.91,27.73,"37,786,880",0.863862928
1-Jan-16,45.78,45.78,32.1,33.44,29.06,"49,513,264",1.047962495
1-Dec-15,39.2,48.67,39.2,45.78,39.78,"95,726,162",1.368891948
1-Nov-15,36.1,40.82,35.68,39.16,34.03,"71,921,073",0.855455003
1-Oct-15,35.92,39.55,35.92,36.6,31.8,"48,464,487",0.934469586
1-Sep-15,36.59,38.1,31.9,35.92,31.21,"48,378,983",0.981446541
1-Aug-15,38.08,42.8,31,36.82,31.99,"65,478,727",1.02499199
13-Jul-15,0.44 Dividend,,,,,,
1-Jul-15,48,50.78,33.87,38.98,33.53,"142,037,495",1.048140044
1-Jun-15,50.25,59.25,41.01,48.79,41.96,"131,183,418",1.251416642
1-May-15,45.46,56.5,44.71,50.25,43.22,"130,179,239",1.030028599
1-Apr-15,39.8,47.88,39.41,45.46,39.1,"137,978,669",0.904673762
1-Mar-15,34.62,41.55,33.69,39.46,33.94,"107,317,761",0.868030691
1-Feb-15,33.45,34.91,32.05,34.6,29.76,"27,895,318",0.876841485
1-Jan-15,34.86,37.76,32.5,33.78,29.05,"72,877,133",0.976142473
1-Dec-14,29.5,36.37,29.11,34.86,29.98,"136,760,338",1.032013769
1-Nov-14,31.21,31.75,28.65,29.54,25.41,"60,393,922",0.847565043
1-Oct-14,30.86,32.46,28.2,31.32,26.94,"38,248,055",1.060212515
1-Sep-14,30.01,32.85,30.01,30.86,26.54,"53,268,587",0.98515219
1-Aug-14,27,30,26.51,29.89,25.71,"75,179,553",0.968726451
11-Jul-14,0.50 Dividend,,,,,,
1-Jul-14,24.11,27.11,23.48,27.09,22.81,"63,417,388",0.887203423
1-Jun-14,25.21,25.42,23.46,24.11,20.3,"23,009,546",0.889960544
1-May-14,24.88,26.1,24.15,25.21,21.23,"22,736,685",1.045812808
1-Apr-14,25.18,27.47,24.55,24.88,20.95,"31,995,959",0.986811116
1-Mar-14,26.52,27.44,24.28,25.14,21.17,"40,768,641",1.010501193
1-Feb-14,24.18,28.58,23.8,26.76,22.54,"46,066,203",1.064714218
1-Jan-14,27,27,24,24.18,20.36,"31,083,553",0.903283052
1-Dec-13,28.5,29.32,26.2,27,22.74,"33,941,496",1.116895874
1-Nov-13,28.6,30.24,27.81,28.94,24.37,"34,359,454",1.071679859
1-Oct-13,31.7,32.99,27.7,28.9,24.34,"39,583,432",0.998768978
1-Sep-13,31.35,33.65,30.31,31.7,26.7,"40,338,166",1.096959737
1-Aug-13,31.8,33.85,31.1,31.29,26.35,"45,185,630",0.986891386
11-Jul-13,1.10 Dividend,,,,,,
1-Jul-13,34.14,36.5,30.96,31.8,25.93,"60,931,635",0.984060721
1-Jun-13,42.05,46.12,32,34.14,27.84,"78,067,252",1.073659853
1-May-13,35.99,44.04,35.39,41.84,34.12,"71,919,415",1.225574713
1-Apr-13,36.03,39.18,35.3,35.99,29.35,"37,684,747",0.860199297
1-Mar-13,44.99,47.6,36,36.12,29.45,"61,306,669",1.003407155
1-Feb-13,43.01,48.36,41.96,44.92,36.63,"59,783,865",1.243803056
1-Jan-13,47,49.5,42.5,42.95,35.02,"68,045,357",0.956046956
1-Dec-12,41.02,48.25,37.01,47,38.32,"52,107,530",1.094231868
1-Nov-12,43.69,45.5,39.95,41.12,33.53,"33,528,039",0.875
1-Oct-12,46.76,51.68,42.9,43.69,35.63,"41,189,245",1.06263048
1-Sep-12,50.01,53.33,43.92,46.76,38.13,"42,392,704",1.070165591
1-Aug-12,61,61.76,49.73,49.9,40.69,"50,183,680",1.067138736
1-Jul-12,67.33,72.7,60.5,61.1,49.82,"37,680,029",1.224379454
18-Jun-12,1.17 Dividend,,,,,,
1-Jun-12,72.3,73.29,66.3,67.26,53.96,"24,886,791",1.083099157
18-Jun-12,13:10 Stock Splits,,,,,,
1-May-12,71.52,78.31,71.16,72.3,58,"24,914,379",1.074870274
1-Apr-12,72.48,74.81,69.85,71.52,57.38,"25,383,019",0.989310345
1-Mar-12,78.37,80.89,71.15,72.48,58.14,"21,563,140",1.013245033
1-Feb-12,70.99,78.97,69.62,78.45,62.93,"27,137,526",1.082387341
1-Jan-12,81.42,83.08,69.75,71.38,57.27,"22,216,015",0.910058795
1-Dec-11,89.85,91.27,78.96,83,66.59,"14,659,889",1.162737908
1-Nov-11,86.46,93.08,84.73,89.31,71.65,"10,897,584",1.075987385
1-Oct-11,80.47,87.95,77.08,86.54,69.42,"12,973,223",0.968876483
1-Sep-11,86.89,87.42,78.15,80.47,64.56,"12,549,396",0.929991357
1-Aug-11,87.32,93.78,83.85,86.95,69.75,"19,585,303",1.080390335
1-Jul-11,75.48,89.38,74.71,87.68,70.34,"25,145,460",1.008458781
14-Jun-11,1.08 Dividend,,,,,,
1-Jun-11,73.46,76.68,69.23,76,60.08,"14,193,458",0.854137049
1-May-11,71.77,78.08,70.65,73.15,57.83,"21,334,480",0.962549933
1-Apr-11,67,74.62,64.52,71.77,56.74,"28,186,798",0.981151651
1-Mar-11,67.85,71.8,64.55,66.98,52.95,"37,954,625",0.933204089
1-Feb-11,68.55,71.6,66.93,67.67,53.49,"19,892,020",1.0101983
1-Jan-11,73.82,74.22,65.4,68.4,54.07,"25,539,348",1.010843148
1-Dec-10,82.93,84.46,70.45,73.82,58.35,"33,817,744",1.079156649
1-Nov-10,79.54,93.08,79,84.62,66.89,"51,790,723",1.146358183
1-Oct-10,92.3,96.15,77.6,79.85,63.12,"30,659,076",0.94363881
1-Sep-10,72.14,96.52,68.69,92.3,72.97,"16,989,774",1.156051965
1-Aug-10,67.99,73.38,67.33,71.12,56.22,"13,357,680",0.770453611
7-Jul-10,0.92 Dividend,,,,,,
1-Jul-10,61.47,69.92,59.46,68.04,53.02,"15,188,469",0.943080754
1-Jun-10,58.06,65.77,56.57,61.52,47.94,"7,235,152",0.904187099
1-May-10,57.77,59.05,52.32,58.45,45.55,"12,992,394",0.950146016
1-Apr-10,51.69,59.9,51.58,57.77,45.01,"26,379,676",0.988144896
1-Mar-10,54.08,54.52,51.33,51.68,40.27,"17,593,278",0.894690069
1-Feb-10,55,56,53.08,54.15,42.2,"15,447,570",1.047926496
1-Jan-10,58.48,58.93,51.81,55.15,42.98,"20,378,564",1.018483412
1-Dec-09,54.15,60.12,52.15,58.48,45.57,"26,305,796",1.060260586
1-Nov-09,49.98,56.14,49.27,54.04,42.11,"16,260,452",0.924072855
1-Oct-09,47.31,50.71,45.77,50.52,39.37,"13,880,623",0.93493232
1-Sep-09,40.38,48.37,40.32,47.31,36.86,"19,533,150",0.936245872
1-Aug-09,42.15,44.28,39.24,40.77,31.77,"37,025,509",0.861909929
1-Jul-09,42.92,45.52,40,42.08,32.79,"35,883,233",1.03210576
4-Jun-09,0.92 Dividend,,,,,,
1-Jun-09,39.41,43.85,37.09,43.31,32.95,"37,972,630",1.004879536
1-May-09,37.08,40.15,36.54,39.39,29.97,"35,628,549",0.909559939
1-Apr-09,36.23,39.61,35.38,37.08,28.21,"40,230,752",0.941274608
1-Mar-09,36.15,37.65,32.52,36.02,27.4,"33,046,050",0.971286778
1-Feb-09,32.85,41.69,32.47,36.69,27.92,"38,005,509",1.018978102
1-Jan-09,37.31,37.85,31.98,32.62,24.82,"17,932,777",0.888968481
1-Dec-08,33.08,38.58,31.92,37.31,28.39,"10,312,615",1.143835616
1-Nov-08,33.08,35.38,28.08,33.16,25.23,"16,770,296",0.888693202
1-Oct-08,38.91,40.68,32.92,34.68,26.39,"5,543,346",1.045977011
1-Sep-08,48.46,48.46,35.39,38.91,29.6,"16,464,301",1.121636984
1-Aug-08,54.73,56.69,47.02,48.46,36.87,"4,695,458",1.245608108
1-Jul-08,51.54,57.81,50.06,54.65,41.58,"4,008,731",1.127746135
1-Jun-08,60.01,60.62,46.16,50.77,38.63,"7,589,869",0.929052429
16-May-08,0.85 Dividend,,,,,,
1-May-08,62.12,66.92,58.08,60.54,45.46,"5,296,009",1.176805592
1-Apr-08,54.62,65.83,49.23,62.12,46.64,"13,561,172",1.025956885
1-Mar-08,66.15,71.54,53.08,54.91,41.23,"10,151,590",0.884005146
1-Feb-08,65,70.77,63.08,66.38,49.85,"12,869,180",1.209071065
1-Jan-08,65.85,77.08,60,65.46,49.15,"31,552,974",0.985957874
1-Dec-07,52.32,66.15,52.31,65.85,49.44,"12,048,435",1.005900305
1-Nov-07,57.69,59.08,50.08,52.26,39.24,"11,728,405",0.79368932
1-Oct-07,51.81,63.81,50.09,57.6,43.25,"31,799,205",1.102191641
1-Sep-07,52.58,53.46,45.23,51.81,38.9,"34,400,742",0.899421965
1-Aug-07,50.38,55.74,46.62,52.31,39.28,"36,587,489",1.009768638
1-Jul-07,46.94,50.69,41.22,50.38,37.83,"28,460,118",0.96308554
1-Jun-07,47.6,53.69,39.82,47.29,35.51,"50,964,004",0.938673011
1-May-07,40.31,51,39.43,46.77,35.12,"53,674,947",0.989017178
26-Apr-07,0.62 Dividend,,,,,,
1-Apr-07,42.72,49.62,39.43,42.68,31.59,"53,419,749",0.899487472
1-Mar-07,41.85,45.46,38.85,43.45,32.16,"29,817,549",1.018043685
1-Feb-07,47.5,50.38,40.26,41.54,30.75,"14,516,767",0.956156716
1-Jan-07,38.31,59.08,35.55,48.12,35.62,"22,243,486",1.158373984
1-Dec-06,33.08,40.58,31.54,38.32,28.37,"19,025,243",0.796462661
1-Nov-06,26.02,34.23,25.7,33.31,24.65,"31,190,599",0.868875573
1-Oct-06,27.38,29.23,25,25.78,19.08,"11,635,107",0.774036511
1-Sep-06,25.41,27.92,24.62,27.23,20.16,"15,442,710",1.056603774
1-Aug-06,25.75,26.15,23.08,25.41,18.81,"13,711,631",0.933035714
1-Jul-06,28.09,28.96,25.78,25.91,19.18,"17,151,803",1.019670388
1-Jun-06,23.52,31.45,21.15,28.93,21.41,"31,698,648",1.116266945
16-May-06,0.41 Dividend,,,,,,
1-May-06,20.3,29.45,20.3,23.76,17.34,"31,091,886",0.809901915
16-May-06,1.3:1 Stock Splits,,,,,,
1-Apr-06,17.3,21.92,17.19,21.59,15.76,"23,840,780",0.9088812
1-Mar-06,17.16,17.57,15.01,17.3,12.62,"11,950,893",0.800761421
1-Feb-06,14.69,17.28,14.69,17.04,12.44,"11,506,486",0.985736926
